sr. no,Description,skills/no-skills 
3440,new relic bs,0
3441,computer science,1
3442,equivalent area,0
3443,technical study,0
3444,bs degree benefits,0
3445,welcoming global multi cultural team,0
3446,work life balance flexible work schedule,0
3447,remote friendly working options career acceleration,0
3448,high growth environment,0
3449,next career milestone,0
3450,employee share options plan,0
3451,growth,0
3452,yearly professional development allowance,0
3453,cad,0
3454,employee comprehensive health insurance benefits package,0
3455,day,0
3456,extended health,0
3457,dental insurance,0
3458,clearcalcs life disability insurance,0
3459,medical check,0
3460,semi private hospital coverage,0
3461,year,0
3462,paramedical practitioner,0
3463,family,0
3464,partner children,0
3465,horizons,0
3466,travel opportunities,0
3467,global offices,0
3468,competitive salary esop work,0
3469,home essentials,0
3470,weeks,0
3471,leave vacation,0
3472,additional personal carer leave,0
3473,job type,0
3474,full time salary,0
3475,year,0
3476,benefits dental care extended health care life insurance,0
3477,time,0
3478,schedule hour shift,0
3479,market leader,0
3480,transportation management software,0
3481,startup,0
3482,billion dollar trucking industry,0
3483,shift,0
3484,saas,0
3485,way,0
3486,trucking companies,0
3487,service,0
3488,hyper growth company,0
3489,human less corporate culture,0
3490,work,0
3492,success,0
3493,love,0
3495,opportunity,0
3496,junior software engineers,0
3498,range,0
3499,exciting challenges,0
3500,platform test team,0
3501,work,0
3502,new features,0
3503,workflows,0
3504,usability,0
3505,product,0
3506,wider range,0
3508,layman terms,0
3509,modern stuff,0
3511,features,0
3512,workflows,0
3513,hard work,0
3514,freight,0
3515,platform tools,0
3516,rose rocket developer experience,0
3517,speed,0
3518,features,0
3519,job,0
3520,chance,0
3521,ideas,0
3522,inception,0
3523,execution,1
3524,cutting edge tech stack,1
3525,evolution,0
3526,startup,0
3527,big responsibilities,0
3528,company,0
3529,fun energetic supportive team,0
3530,beautiful office steps,0
3531,union station,0
3532,work,0
3533,seriously requirements years,0
3534,development experience,1
3536,modern javascript framework,1
3537,react,1
3538,vue svelte,0
3539,angular experience,0
3540,rest,0
3542,sql,1
3543,proficiency,0
3544,version control systems,0
3545,git svn mercurial technologies,1
3546,backend typescript nestjs prisma,0
3547,temporal graphql frontend typescript,0
3548,styled components,0
3549,infrastructure,1
3550,docker kubernetes,1
3551,serverless bonus points,0
3552,haves experience,0
3553,project management tool,0
3554,linear jira asana golang nodejs experience,1
3555,source software,0
3556,personal projects,0
3557,achievements,0
3558,everything,0
3559,growth,0
3560,curiosity,0
3561,qualities,0
3562,opportunity,0
3563,perks,0
3564,benefits,0
3565,rose rocket,0
3566,latest macbook pro,0
3567,sweet tech equipment combo,0
3568,total,0
3569,weeks,0
3570,paid time,0
3571,three weeks,0
3572,vacation summer fridays winter holidays,0
3573,personal days downtown toronto office,0
3574,house,0
3575,lifestyle perks,0
3576,days,0
3577,fun equal employment opportunity,0
3578,terms,0
3579,conditions,0
3581,individual race ancestry colour place,0
3582,origin religion gender gender identity national origin citizenship age disability sexual orientation family status,0
3583,marital status,0
3584,protected category,0
3585,provincial federal laws,0
3586,accommodation,0
3588,accessibility,0
3589,needs,0
3590,accessibility related assistance requests,0
3591,information,0
3592,accessible alternative formats,0
3593,accessibility problems,0
3594,application,0
3595,email careers,0
3596,roserocket com,0
3597,intuit,0
3598,hearts,0
3600,world,0
3601,consumer small business finance,0
3603,financial lives,0
3604,products,0
3605,turbotax mint,0
3606,quickbooks,0
3607,million consumers,0
3608,globe,0
3609,fortune fintech company,0
3610,best workplace,0
3611,canada,0
3613,taxes,0
3614,millions,0
3615,canadians,0
3616,tax return,0
3617,fun,0
3618,way,0
3619,talented inspired diverse friendly team,0
3620,teams,0
3621,multiple countries,0
3622,many platforms,0
3624,unique challenging problems,0
3625,member,0
3627,canada tax preparation product,0
3628,innovative solutions,0
3630,biggest problems,0
3631,post secondary degree,0
3632,computer science engineering,1
3633,lover,0
3634,things development,1
3636,java javascript html,1
3637,python,1
3638,passion,0
3639,exploration innovation,0
3640,code review test solutions,1
3642,architecture,1
3643,projects,0
3644,cross functional team,0
3645,engineers,0
3646,functional requirements,0
3647,technical specifications,0
3648,internal external partners,0
3650,drive technological process innovation,0
3651,data,1
3652,seismic rapidly growing forbes cloud company,1
3653,global leader,0
3654,enablement,0
3655,sales teams,0
3656,buyers,0
3657,compelling way,0
3658,seismic platform,0
3659,continuous guidance,1
3660,behavior content,0
3661,deals,0
3662,better experiences,0
3663,nearly organizations,0
3664,ibm,0
3665,american express,0
3666,enablement platform,0
3667,choice seismic integrates,0
3668,business critical platforms,0
3669,microsoft salesforce google,0
3670,san diego,0
3671,offices,0
3672,north america europe,0
3673,australia,0
3674,seismic,0
3675,fun,0
3676,core,0
3677,toronto team,0
3678,exception,0
3679,critical part,0
3680,highly collaborative innovative software engineering environment,0
3681,award,0
3682,content engagement platform,0
3683,glassdoor reviews,0
3684,enthusiastic tech talent,0
3685,passionate engineering team,0
3686,jr software engineer,0
3687,op,0
3688,us scale,0
3689,cloud based systems,1
3690,technologies,0
3691,keen eye,0
3692,software quality,1
3693,operational excellence,0
3694,highly collaborative fast paced enterprise saas environment,0
3695,modern technologies,1
3697,development team,1
3698,code,1
3699,computer applications,1
3700,primary responsibilities,0
3701,codebase,1
3702,small bug fixes,0
3703,paired programming,0
3704,mid level,0
3705,senior developers,0
3706,larger projects,0
3708,programming skill,1
3709,job duties,0
3710,development team meetings,1
3711,patching computer code,0
3712,developers,1
3713,applications,0
3714,strong understanding,0
3715,multiple coding languages javascripts,1
3716,net python,1
3717,c mean mern stack,1
3718,react node js,1
3719,angularjs understanding,0
3720,relational,0
3721,databases,1
3722,specifically mysql,1
3723,understanding,0
3724,front end technologies,0
3725,html,1
3726,css web services development full stack experience,1
3727,plus understanding,0
3728,cross platform display issues,0
3729,plus strong interpersonal skills,0
3730,ability,0
3731,distributed teams,0
3732,passion,0
3734,eye,0
3735,detail,0
3736,ideas,0
3737,innovation,0
3739,company,0
3740,way,0
3741,world,0
3742,lot,0
3743,fun,0
3744,way,0
3745,tech unicorn,0
3746,amazing opportunity,0
3747,right person,0
3748,technical vision,0
3749,pre ipo software company,0
3750,history,0
3751,sales enablement space,0
3752,san diego,0
3754,global leader,0
3755,sales enablement,0
3756,firms,0
3757,permira ameriprise,0
3758,financial edbi lightspeed venture partners,0
3760,product portfolio,0
3761,acquisition,0
3762,percolate grapevine,0
3763,lessonly board,0
3764,directors,0
3765,several industry luminaries,0
3766,john thompson,0
3767,former chairman,0
3768,board,0
3769,equal opportunity employer,0
3770,qualified applicants,0
3771,consideration,0
3773,regard,0
3774,gender age race religion,0
3775,classification,0
3776,applicable law united states candidates,0
3777,notice,0
3778,covid vaccination requirement,0
3779,condition,0
3781,health,0
3782,wellbeing,0
3784,families,0
3785,friends,0
3786,response,0
3787,novel coronavirus,0
3788,increased transmissibility,0
3789,recent variants,0
3790,new u based seismic employees,0
3791,whose job,0
3792,person,0
3793,others,0
3794,seismic office,0
3795,course,0
3797,status,0
3798,prescribed vaccinations,0
3799,doses,0
3800,manufacturer guidelines,0
3801,first day,0
3802,employment accommodations,0
3803,medical religious exemptions,0
3804,job description,0
3805,comprehensive listing,0
3806,activities duties,0
3807,responsibilities,0
3808,employee,0
3809,job duties responsibilities,0
3810,activities,0
3811,time,0
3812,notice,0
3813,location toronto,0
3814,british columbia,0
3815,quebec,0
3816,ca edmonton ab,0
3817,ca ottawa,0
3818,ca calgary ab,0
3819,id jobs,0
3820,category technology solutions job function engineering development status,0
3821,full time schedule regular description,0
3823,data strategy enablement team,1
3824,continuous journey,0
3825,telus,0
3826,world class leader,0
3827,data solutions,1
3828,data analytics capabilities,1
3829,unified scalable platforms,0
3830,ai tooling,1
3831,high quality data,1
3832,data product,1
3833,data platform oriented culture,1
3834,eye,0
3835,horizon,0
3836,next big thing,0
3837,entrepreneurial passionate believers,0
3838,value,0
3839,great outcomes,0
3840,customers team members communities,0
3841,environment,0
3842,meaningful transformation,0
3843,dynamic change,0
3844,professional lives,0
3845,dynamic team,0
3846,way,0
3847,digital transformation,0
3848,organization,0
3849,better use,0
3850,data,1
3851,use,0
3852,analytical skills,1
3853,ability,0
3854,impact,0
3855,data,1
3856,upstream downstream systems,0
3857,cloud related business processes,1
3858,best practices,0
3859,telus,0
3860,transformation,0
3861,modernization,0
3862,enterprise data solutions,1
3863,integration,1
3864,google cloud,1
3865,native gcp services,1
3866,rd party data technologies,1
3868,business partners,0
3869,domain architects,0
3870,order,0
3871,robust enterprise grade solutions,0
3872,various solution options,0
3873,best approach,0
3874,constraints,0
3875,future,0
3876,needs,0
3877,solutions,0
3878,business objectives,0
3879,enterprise tech strategies,0
3881,automation,0
3882,development production process,1
3883,upfront hands,0
3884,work capture issues,0
3885,underlying data,1
3886,impact,0
3887,key business drivers,0
3888,product management teams,0
3889,api layer,1
3890,consumers,0
3891,telus,0
3892,consumer data,0
3893,value,0
3895,sessions,0
3896,intake assessment meetings,0
3897,effort,0
3898,high level solutions,0
3899,years,0
3901,platform implementation,1
3902,technical capacity,0
3903,systems design experience,1
3904,ability,0
3905,complex systems interactions data,1
3906,common interfaces,0
3907,apis,1
3909,high volume back end web applications,1
3911,rest api design,1
3912,grpc api design,0
3913,strong proficiency,0
3914,javascript python,1
3915,nature,0
3916,asynchronous programming,1
3917,haves gcp experience,0
3918,certification,0
3919,college university,0
3920,computer science engineering,1
3921,similar degree,0
3922,least one semester term quarter,0
3923,school,0
3924,end,0
3925,co,1
3926,op,0
3927,full time,0
3928,op,0
3929,january september job summary,0
3930,invention,0
3931,problem,0
3932,teamwork,0
3933,dna,0
3934,idea,0
3935,work,0
3936,bigger picture,0
3937,amazon robotics,1
3938,smart team,0
3939,doers,0
3940,edge advances,0
3941,robotics,0
3942,software,1
3943,real world challenges,0
3945,new improvements,0
3946,amazon robotics,1
3947,tools,0
3949,ways,0
3950,fulfilling,0
3951,fun amazon robotics,0
3952,wholly owned subsidiary,0
3953,amazon com empowers,0
3954,smarter faster consistent customer experience,0
3955,automation amazon robotics,0
3956,automates,0
3957,fulfillment center operations,0
3958,various methods,0
3959,robotic technology,0
3960,autonomous mobile robots,0
3961,sophisticated control software language perception power management computer vision depth,1
3962,machine learning object recognition,1
3963,semantic understanding,0
3964,commands amazon robotics,0
3965,dedicated focus,0
3966,research,0
3967,development,1
3968,new opportunities,0
3969,product lines,0
3970,new areas,0
3971,amazon robotics,1
3972,op opportunities,0
